id,titulo,tipo,fonteTitulo,data_publicacao,volume,issue,paginas,paginasInicio,paginasFim,numeroPaginas,doi,autores_artigo,orcid_autores,departamento,origem,financiador,repositorioIPBeja,apoiosPublicacao
WOS:000788279700035,"Electrolyte Imbalances in the Elderly","Proceedings Paper","GERONTECHNOLOGY IV",2022-01-01,,,378-387,378,387,10,10.1007/978-3-030-97524-1_35,"Eugenia Sardinha; Rogerio Ferreira; Joao Vieira; Teresa Mestre; Ana Clara Nunes",0000-0002-8514-2264,Saúde,WOS,N/A,N/A,N/A
WOS:000788279700022,"The Practice of Physical Activity in a Person with Type 2 Diabetes Mellitus","Proceedings Paper","GERONTECHNOLOGY IV",2022-01-01,,,233-244,233,244,12,10.1007/978-3-030-97524-1_22,"Filipa Martins; Rogerio F. Ferreira; Ana Clara Nunes; Joao V. Vieira; Teresa Mestre",0000-0002-8514-2264,Saúde,WOS,N/A,N/A,N/A
WOS:000806948300001,"Applying Risk Indices to Assess and Manage Soil Salinization and Sodification in Crop Fields within a Mediterranean Hydro-Agricultural Area",Article,WATER,2021-11-01,13,21,,,,14,10.3390/w13213070,"Alexandra Tomaz; Maria Joao Costa; Joao Coutinho; Jose Dores; Adriana Catarino; Ines Martins; Clarisse Mourinha; Isabel Guerreiro; Maria Margarida Pereira; Marta Fabiao; Luis Boteta; Manuel Patanita; Patricia Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000875973700001,"Insights into the Spatial and Temporal Variability of Soil Attributes in Irrigated Farm Fields and Correlations with Management Practices: A Multivariate Statistical Approach",Article,WATER,2022-10-01,14,20,,,,13,10.3390/w14203216,"Alexandra Tomaz; Ines Martins; Adriana Catarino; Clarisse Mourinha; Jose Dores; Marta Fabiao; Luis Boteta; Joao Coutinho; Manuel Patanita; Patricia Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000991172300001,"Effects of Mineral and Organic Fertilization on Forage Maize Yield, Soil Carbon Balance, and NPK Budgets, Under Rainfed Conditions in the Azores Islands (Portugal)",Article,"INTERNATIONAL JOURNAL OF PLANT PRODUCTION",2023-09-01,17,3,463-475,463,475,13,10.1007/s42106-023-00250-7,"Carlos Arruda Pacheco; Andre Oliveira; Alexandra Tomaz",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:001031070300001,"Sustainability of High-Density Olive Orchards: Hints for Irrigation Management and Agroecological Approaches",Review,WATER,2023-07-01,15,13,,,,20,10.3390/w15132486,"Justino Sobreiro; Maria Isabel Patanita; Manuel Patanita; Alexandra Tomaz",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:001172172600001,"Water Quality Assessment of a Hydro-Agricultural Reservoir in a Mediterranean Region (Case Study-Lage Reservoir in Southern Portugal)",Article,WATER,2024-02-01,16,4,,,,18,10.3390/w16040514,"Adriana Catarino; Ines Martins; Clarisse Mourinha; Joao Santos; Alexandra Tomaz; Pedro Anastacio; Patricia Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:001193453000001,"Agricultural Practices to Improve Irrigation Sustainability",Article,WATER,2024-03-01,16,6,,,,5,10.3390/w16060817,"Patricia Palma; Alexandra Tomaz",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:001197338200001,"Water and carbon footprints in irrigated vineyards: an on-farm assessment","Article, Early Access","IRRIGATION SCIENCE",2024-04-05,,,,,,17,10.1007/s00271-024-00926-6,"Alexandra Tomaz; Jose Dores; Ines Martins; Adriana Catarino; Luis Boteta; Marta Santos; Manuel Patanita; Patricia Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:001363606400001,"Effect of Different Irrigated Crop Successions on Soil Carbon and Nitrogen-Phosphorus-Potassium Budget Under Mediterranean Conditions",Article,AGRICULTURE-BASEL,2024-11-01,14,11,,,,21,10.3390/agriculture14111908,"Claudia Neto; Adriana Catarino; Justino Sobreiro; Jose das Dores; Manuel Patanita; Alexandra Tomaz; Patricia Palma",0000-0001-9129-112X,Biociências,WOS,N/A,N/A,N/A
WOS:000168191400009,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent",Article,"COLORATION TECHNOLOGY",2001-01-01,117,1,43-48,43,48,6,,"AC Pardal; SS Ramos; L Santos; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000176506000001,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins",Article,"COLORATION TECHNOLOGY",2002-01-01,118,3,95-99,95,99,5,,"AC Pardal; MJ Nunes; AM Gama; JA Queiroz; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000174849300001,"Synthesis and spectroscopic characterisation of <i>N</i>-alkyl quaternary ammonium salts typical precursors of cyanines",Article,MOLECULES,2002-03-01,7,3,320-330,320,330,11,10.3390/70300320,"AC Pardal; SS Ramos; PF Santos; LV Reis; P Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000282550900023,"Rape oil transesterification over heterogeneous catalysts",Article,"FUEL PROCESSING TECHNOLOGY",2010-11-01,91,11,1530-1536,1530,1536,7,10.1016/j.fuproc.2010.05.034,"J. M. Encinar; J. F. Gonzalez; A. Pardal; G. Martinez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000300740100006,"Transesterification of rapeseed oil in subcritical methanol conditions",Article,"FUEL PROCESSING TECHNOLOGY",2012-02-01,94,1,40-46,40,46,7,10.1016/j.fuproc.2011.10.018,"J. M. Encinar; A. Pardal; G. Martinez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000300615900051,"Soybean oil transesterification by the use of a microwave flow system",Article,FUEL,2012-05-01,95,1,386-393,386,393,8,10.1016/j.fuel.2011.11.010,"J. M. Encinar; J. F. Gonzalez; G. Martinez; N. Sanchez; A. Pardal",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000307692900002,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results",Article,"FUEL PROCESSING TECHNOLOGY",2012-11-01,103,,9-15,9,15,7,10.1016/j.fuproc.2011.12.033,"J. M. Encinar; J. F. Gonzalez; A. Pardal",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000365627700008,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Article,FUEL,2016-02-15,166,,51-58,51,58,8,10.1016/j.fuel.2015.10.110,"Jose M. Encinar; Ana Pardal; Nuria Sanchez",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000446604500050,"Biodiesel by Transesterification of Rapeseed Oil Using Ultrasound: A Kinetic Study of Base-Catalysed Reactions",Article,ENERGIES,2018-09-01,11,9,,,,13,10.3390/en11092229,"Jose Maria Encinar; Ana Pardal; Nuria Sanchez; Sergio Nogales",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000599500400012,"The physio-chemical conditions of surface and groundwater resources in water scarce areas - how droughts affect ions migration",Article,"DESALINATION AND WATER TREATMENT",2020-12-01,207,,122-136,122,136,15,10.5004/dwt.2020.26560,"Agnieszka Operacz; Karolina Kurek; Piotr Bugajski; Ana Pardal; Isabel Simoes; Maria J. Imaginario; Ivone Castanheira; Maria Raposo; Adelaide Almeida",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000902618100001,"Monitoring and Prediction of Particulate Matter (PM<sub>2.5</sub> and PM<sub>10</sub>) around the Ipbeja Campus",Article,SUSTAINABILITY,2022-12-01,14,24,,,,9,10.3390/su142416892,"Flavia Matias Oliveira Silva; Eduardo Carlos Alexandrina; Ana Cristina Pardal; Maria Teresa Carvalhos; Elaine Schornobay Lui",0000-0003-3953-8441,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:001038265400001,"ANALYSIS OF FLAWS IN GRAPHICAL REPRESENTATIONS OF STATISTICAL DATA IN THE FIELD OF OCCUPATIONAL SAFETYAND HEALTH",Article,"CADERNOS EDUCACAO TECNOLOGIA E SOCIEDADE",2023-01-01,16,1,9-22,9,22,14,10.14571/brajets.v16.n1.9-22,"Carla Santos; Cristina Dias; Ana Dias; Claudia Santos",0000-0001-5300-2331,Engenharia,WOS,N/A,N/A,N/A
WOS:000790340500023,"Models and Politics of Cares of the Elderly in the Home","Proceedings Paper","GERONTECHNOLOGY, IWOG 2018",2019-01-01,1016,,257-268,257,268,12,10.1007/978-3-030-16028-9_23,"Rogerio Ferrinho Ferreira; Ana Clara Nunes; Ana Maria Canhestro",0000-0002-5528-3154,Saúde,WOS,N/A,N/A,N/A
WOS:000495594000020,"Using CAQDAS in Visual Data Analysis: A Systematic Literature Review","Proceedings Paper","COMPUTER SUPPORTED QUALITATIVE RESEARCH: NEW TRENDS ON QUALITATIVE RESEARCH",2019-01-01,861,,235-247,235,247,13,10.1007/978-3-030-01406-3_20,"Ana Isabel Rodrigues; Antonio Pedro Costa; Antonio Moreira",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000790577700034,"Representations of Aging in Nursing and Social Work Students","Proceedings Paper","GERONTECHNOLOGY, IWOG 2019",2020-01-01,1185,,350-358,350,358,9,10.1007/978-3-030-41494-8_34,"Maria Cristina Faria; Ana Isabel Fernandes",0000-0002-2322-7940,"Educação CSComportamento",WOS,N/A,N/A,N/A
WOS:000735996500001,"Designing and evaluating tourism experiences in senior mobility: an application of the OEC framework",Article,"TOURISM & MANAGEMENT STUDIES",2020-01-01,16,4,59-72,59,72,14,10.18089/tms.2020.160405,"Marta Amaral; Ana Isabel Rodrigues; Alice Diniz; Sandra Oliveira; Susanal Leal",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000551722900002,"EXPLORING VISUAL METHODS IN TEACHING TOURISM","Article, Proceedings Paper","TOURISM ANALYSIS",2020-01-01,25,2-3,203-214,203,214,12,10.3727/108354220X15758301241710,"Ana Isabel Rodrigues",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000551722900003,"EXPLORING THE POTENTIAL OF NIGHTSCAPE PHOTOGRAPHY FOR TOURISM: PRELIMINARY INSIGHTS","Article, Proceedings Paper","TOURISM ANALYSIS",2020-01-01,25,2-3,215-225,215,225,11,10.3727/108354220X15758301241738,"Aurea Rodrigues; Rosaria Pereira; Ana Isabel Rodrigues",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000606407100001,"A Textual and Visual Analysis of the Intrinsic Value Dimensions of Romania: Towards a Sustainable Destination Brand",Article,SUSTAINABILITY,2021-01-01,13,1,,,,23,10.3390/su13010067,"Cristina Lupu; Ana Isabel Rodrigues; Oana Mihaela Stoleriu; Martina G. Gallarza",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000606751800008,"From Observations and Pictures to Images: Learning Lab@PP2 in Tourism Classes","Article, Proceedings Paper","QUALITATIVE REPORT",2020-01-01,25,13,104-118,104,118,15,,"Ana Isabel Rodrigues; Marta Amaral",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000648625900020,"Destination Image(s) Formed of the Alentejo Litoral/Southwest Region from the Experience of Participating in the MEOSUDOESTE Music Festival","Proceedings Paper","COMPUTER SUPPORTED QUALITATIVE RESEARCH: NEW TRENDS ON QUALITATIVE RESEARCH (WCQR2019)",2020-01-01,1068,,239-252,239,252,14,10.1007/978-3-030-31787-4_20,"Sandra Saude; Ana Isabel Rodrigues",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000956205800001,"Using travel blogs to explore the image of Romania as an emerging tourism destination",Article,"EUROPEAN JOURNAL OF TOURISM RESEARCH",2023-01-01,34,,,,,21,10.54055/ejtr.v34i.2566,"Cristina Lupu; Ana Isabel Rodrigues; Martina G. Gallarza",0000-0001-9140-9722,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:001017270600001,"Efficacy of Health Promotion Interventions Aimed to Improve Health Gains in Middle-Aged Adults-A Systematic Review",Review,GERIATRICS,2023-06-01,8,3,,,,13,10.3390/geriatrics8030050,"Eunice M. C. P. Santos; Ana M. G. D. S. Canhestro; Jorge M. O. A. Rosario; Cesar J. V. Fonseca; Lara M. G. Pinho; Helena M. S. L. R. Arco",0000-0002-5528-3154,Saúde,WOS,N/A,N/A,N/A
WOS:000234617700044,"Reduction of wastewaters and valorisation of by-products from ""Serpa"" cheese manufacture using nanofiltration","Article, Proceedings Paper","WATER SCIENCE AND TECHNOLOGY",2005-01-01,52,10-11,393-399,393,399,7,10.2166/wst.2005.0716,"V Magueijo; M Minhalma; D Queiroz; V Geraldes; A Macedo; MN de Pinho",0000-0002-6378-0564,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000295564600004,"The role of concentration polarization in ultrafiltration of ovine cheese whey",Article,"JOURNAL OF MEMBRANE SCIENCE",2011-09-30,381,1-2,34-40,34,40,7,10.1016/j.memsci.2011.07.012,"Antonia Macedo; Elizabeth Duarte; Maria Pinho",0000-0002-6378-0564,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000451071100047,"Public Participation: A Tool for Water Conservation and Environmental Management","Proceedings Paper",INCREASE,2018-01-01,,,583-593,583,593,11,10.1007/978-3-319-70272-8_47,"Albertina Raposo; Anabela Durao; M. Manuela Morais; Lia Vasconcelos",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:000485660800004,"Phytoremediation potential of <i>Vetiveria zizanioides</i> and <i>Oryza sativa</i> to nitrate and organic substance removal in vertical flow constructed wetland systems",Article,"ECOLOGICAL ENGINEERING",2019-11-01,138,,19-27,19,27,9,10.1016/j.ecoleng.2019.06.020,"Adelaide Almeida; Carlos Ribeiro; Fatima Carvalho; Anabela Durao; Piotr Bugajski; Karolina Kurek; Patrycja Pochwatka; Krzysztof Jozwiakowski",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:000544446100004,"Nitrogen removal in vertical flow constructed wetlands: influence of bed depth and high nitrogen loadings",Article,"ENVIRONMENTAL TECHNOLOGY",2020-07-28,41,17,2196-2209,2196,2209,14,10.1080/09593330.2018.1557749,"Adelaide Almeida; Krzysztof Jozwiakowski; Alina Kowalczyk-Jusko; Piotr Bugajski; Karolina Kurek; Fatima Carvalho; Anabela Durao; Carlos Ribeiro; Magdalena Gajewska",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:000581712000001,"Water Footprint Sustainability as a Tool to Address Climate Change in the Wine Sector: A Methodological Approach Applied to a Portuguese Case Study",Article,ATMOSPHERE,2020-09-01,11,9,,,,30,10.3390/atmos11090934,"Artur Saraiva; Pedro Presumido; Jose Silvestre; Manuel Feliciano; Goncalo Rodrigues; Pedro Oliveira e Silva; Miguel Damasio; Antonio Ribeiro; Sofia Ramoa; Luis Ferreira; Artur Goncalves; Albertina Ferreira; Anabela Grifo; Ana Paulo; Antonio Castro Ribeiro; Adelaide Oliveira; Igor Dias; Helena Mira; Anabela Amaral; Henrique Mamede; Margarida Oliveira",0000-0001-9380-3002,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000601926400001,"Grape Pomace: A Potential Ingredient for the Human Diet",Article,FOODS,2020-12-01,9,12,,,,11,10.3390/foods9121772,"Paula Pereira; Carla Palma; Cintia Ferreira-Pego; Olga Amaral; Anabela Amaral; Patricia Rijo; Joao Gregorio; Lidia Palma; Marisa Nicolai",0000-0001-9380-3002,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000676503300001,"Valorization of Goat Cheese Whey through an Integrated Process of Ultrafiltration and Nanofiltration",Article,MEMBRANES,2021-07-01,11,7,,,,12,10.3390/membranes11070477,"Antonia Macedo; David Azedo; Elizabeth Duarte; Carlos Pereira",0000-0002-6378-0564,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000689188800001,"Integration of Membrane Processes for By-Product Valorization to Improve the Eco-Efficiency of Small/Medium Size Cheese Dairy Plants",Article,FOODS,2021-08-01,10,8,,,,16,10.3390/foods10081740,"Antonia Macedo; Jose Bilau; Eunice Camboias; Elizabeth Duarte",0000-0002-6378-0564,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000942065200001,"Analyzing Green Behavior and the Rational Use of Water in Portuguese Higher Education Campi",Article,SUSTAINABILITY,2023-02-01,15,4,,,,16,10.3390/su15043035,"Ana M. M. Barreiros; Anabela Durao; Ana Galvao; Cristina Matos; Dina Mateus; Ivo Araujo; Luis Neves; Mario Matos; Sandra Mourato",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:001257365300001,"Higher Education Institutions' Students' Literacy in Sustainable Use of Potable Water",Article,SUSTAINABILITY,2024-06-01,16,12,,,,21,10.3390/su16125217,"Ana M. Barreiros; Anabela Durao; Ana Galvao; Cristina Matos; Dina Mateus; Ivo Araujo; Luis Neves; Sandra Mourato",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:001419476500001,"Healthy Campus: A Contribution to the Environment, Sustainability, and Social Responsibility Practices at the IPBeja in Portugal",Article,SUSTAINABILITY,2025-02-01,17,3,,,,20,10.3390/su17030862,"Anabela Durao; Teresa Borralho; Albertina Raposo",0000-0001-9069-2554,Engenharia,WOS,N/A,N/A,N/A
WOS:000167942600013,"Human placenta hydrolases active on free ADP-ribose: an ADP-sugar pyrophosphatase and a specific ADP-ribose pyrophosphatase",Article,"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS",2001-04-03,1526,1,86-94,86,94,9,10.1016/S0304-4165(01)00113-1,"JM Ribeiro; A Carloto; MJ Costas; JC Cameselle",0000-0002-9132-0223,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000241589800010,"The specific, submicromolar-<i>K</i><sub>m</sub> ADP-ribose pyrophosphatase purified from human placenta is enzymically indistinguishable from recombinant NUDT9 protein, including a selectivity for Mn<SUP>2+</SUP> as activating cation and increase in <i>K</i><sub>m</sub> for ADP-ribose, both elicited by H<sub>2</sub>O<sub>2</sub>",Article,"BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS",2006-10-01,1760,10,1545-1551,1545,1551,7,10.1016/j.bbagen.2006.06.003,"Antonio Carloto; Maria Jesus Costas; Jose Carlos Cameselle; Alexander G. McLennan; Joao Meireles Ribeiro",0000-0002-9132-0223,"Tecnologias CAplicadas",WOS,N/A,N/A,N/A
WOS:000351317300007,"Inference for types and structured families of commutative orthogonal block structures",Article,METRIKA,2015-04-01,78,3,337-372,337,372,36,10.1007/s00184-014-0506-8,"Francisco Carvalho; Joao T. Mexia; Carla Santos; Celia Nunes",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000389449900097,"Imbedding Linear Regressions in Models for Factor Crossing","Proceedings Paper","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2016 (ICCMSE-2016)",2016-01-01,1790,,,,,3,10.1063/1.4968734,"Carla Santos; Celia Nunes; Cristina Dias; Maria Varadinov; Joao T. Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000389449900098,"ANOVA Like Analysis for Structured Families of Stochastic Matrices","Proceedings Paper","PROCEEDINGS OF THE INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2016 (ICCMSE-2016)",2016-01-01,1790,,,,,3,10.1063/1.4968735,"Cristina Dias; Carla Santos; Maria Varadinov; Joao T. Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000392787100017,"Joining models with commutative orthogonal block structure",Article,"LINEAR ALGEBRA AND ITS APPLICATIONS",2017-03-15,517,,235-245,235,245,11,10.1016/j.laa.2016.12.019,"Carla Santos; Celia Nunes; Cristina Dias; Joao Tiago Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000515731800003,"Combining Models","Proceedings Paper","ICOMS 2018: 2018 INTERNATIONAL CONFERENCE ON MATHEMATICS AND STATISTICS",2018-01-01,,,11-15,11,15,5,10.1145/3274250.3274257,"Carla Santos; Celia Nunes; Cristina Dias; Joao T. Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000515731800010,"Degree-one Models and Cross Product Matrices","Proceedings Paper","ICOMS 2018: 2018 INTERNATIONAL CONFERENCE ON MATHEMATICS AND STATISTICS",2018-01-01,,,50-54,50,54,5,10.1145/3274250.3274258,"Cristina Dias; Carla Santos; Joao T. Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000467966400115,"Model Validation and Vec Operators","Proceedings Paper","INTERNATIONAL CONFERENCE OF COMPUTATIONAL METHODS IN SCIENCES AND ENGINEERING 2018 (ICCMSE-2018)",2018-01-01,2040,,,,,4,10.1063/1.5079167,"Cristina Dias; Carla Santos; Maria Varadinov; Joao Tiago Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000474641900008,"The importance of probabilistic health literacy","Meeting Abstract","EUROPEAN JOURNAL OF PUBLIC HEALTH",2019-06-01,29,,18-18,18,18,1,,"C. Santos; C. Dias; M. Borges",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000534898400001,"Models with commutative orthogonal block structure: a general condition for commutativity",Article,"JOURNAL OF APPLIED STATISTICS",2020-11-17,47,13-15,2421-2430,2421,2430,10,10.1080/02664763.2020.1765322,"C. Santos; C. Nunes; C. Dias; J. T. Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000534803300007,"Local government efficiency: is there anything new after Troika's intervention in Portugal?",Article,"EURASIAN ECONOMIC REVIEW",2020-06-01,10,2,309-332,309,332,24,10.1007/s40822-019-00126-0,"Maria Basilio; Clara Pires; Carlos Borralho; Jose Pires dos Reis",0000-0003-3868-9715,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000637533600022,"COVID-19 and online learning in higher education. A case study of students from Portalegre and Beja Polytechnic Institutes",Article,"INTERNATIONAL JOURNAL OF EDUCATIONAL RESEARCH AND INNOVATION",2021-01-01,,15,317-325,317,325,9,10.46661/ijeri.5253,"Maria Isabel de Borges; Cristina Dias; Carla Santos",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
WOS:000685635100005,"Determinants of Portuguese banks' profitability: an update",Article,"TOURISM & MANAGEMENT STUDIES",2021-01-01,17,3,63-70,63,70,8,10.18089/tms.2021.170305,"Clara Pires; Maria Basilio; Carlos Borralho",0000-0003-3868-9715,"Ciências Empresariais",WOS,N/A,N/A,N/A
WOS:000746924300061,"Isolated and structured families of models for stochastic symmetric matrices",Article,"COMPUTATIONAL AND MATHEMATICAL METHODS",2021-11-01,3,6,,,,8,10.1002/cmm4.1152,"Cristina Dias; Carla Santos; Joao Tiago Mexia",0000-0002-0077-1249,"Matemática CFisicas",WOS,N/A,N/A,N/A
