id,titulo,tipo,ano_publicacao,volume,paginas,organizacoes,citacoes,issn,isbn,doi,orcids_autores,autores,origem,keywords
SCOPUS_ID:85120810074,"Rainfall erosivity, soil erodibility and natural water erosion potential in the huambo region, Angola",Journal,2021-01-01,122,269-278,N/A,N/A,16129830,undefined,10.17170/kobra-202110274964,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Scopus,
SCOPUS_ID:85098716399,"Risk assessment of irrigation-related soil salinization and sodification in mediterranean areas",Journal,2020-12-01,12,undefined,N/A,N/A,undefined,undefined,10.3390/w12123569,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Scopus,
SCOPUS_ID:85077493669,"Spatial and temporal dynamics of irrigation water quality under drought conditions in a large reservoir in Southern Portugal",Journal,2020-02-01,192,undefined,N/A,N/A,01676369,undefined,10.1007/s10661-019-8048-1,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85085023476,"Soil salinity risk in a climate change scenario and its effect on crop yield",Book,2020-01-01,undefined,351-396,N/A,N/A,undefined,"true, [9780128180327, 9780128180334]",10.1016/B978-0-12-818032-7.00013-8,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85074237952,"Water regime and nitrogen management to cope with wheat yield variability under the mediterranean conditions of Southern Portugal",Journal,2019-10-01,8,undefined,N/A,N/A,undefined,undefined,10.3390/plants8100429,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85062472452,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions","Conference Proceeding",2019-02-22,86,undefined,N/A,N/A,undefined,undefined,10.1051/e3sconf/20198600019,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85044208475,"Efficient use of water and nutrients in irrigated cropping systems in the Alqueva region",Journal,2018-01-01,8,12-23,N/A,N/A,undefined,undefined,10.3232/SJSS.2018.V8.N1.02,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85034593692,"Water use and productivity of maize-based cropping systems in the Alqueva Region (Portugal)",Journal,2017-12-01,45,711-721,N/A,N/A,01333720,undefined,10.1556/0806.45.2017.036,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85013018513,"Influence of cover cropping on water uptake dynamics in an irrigated Mediterranean vineyard",Journal,2017-07-01,66,387-395,N/A,N/A,15310353,undefined,10.1002/ird.2115,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:84949234710,"Yield and quality responses of 'Aragonez' grapevines under deficit irrigation and different soil management practices in a Mediterranean climate",Journal,2015-01-01,30,9-20,N/A,N/A,02540223,undefined,10.1051/ctv/20153001009,0000-0001-9129-112X,"Alexandra Telo da Costa Trincalhetas Tomaz",Ambas,N/A
SCOPUS_ID:85127913064,"Electrolyte Imbalances in the Elderly","Book Series",2022-01-01,undefined,378-387,N/A,N/A,2195271X,"true, [9783030975234]",10.1007/978-3-030-97524-1_35,0000-0002-8514-2264,"Ana Clara Pica Nunes",Ambas,N/A
SCOPUS_ID:85127890349,"The Practice of Physical Activity in a Person with Type 2 Diabetes Mellitus","Book Series",2022-01-01,undefined,233-244,N/A,N/A,2195271X,"true, [9783030975234]",10.1007/978-3-030-97524-1_22,0000-0002-8514-2264,"Ana Clara Pica Nunes",Ambas,N/A
SCOPUS_ID:85065387693,"Models and politics of cares of the elderly in the home","Book Series",2019-01-01,1016,257-268,N/A,N/A,18650929,"true, [9783030160272]",10.1007/978-3-030-16028-9_23,0000-0002-8514-2264,"Ana Clara Pica Nunes",Ambas,N/A
SCOPUS_ID:85187541845,"Towards an Integrated Information System for a Higher Education Institution Volunteering Group","Conference Proceeding",2023-01-01,undefined,382-391,N/A,N/A,undefined,"true, [9789899127685]",10.18803/capsi.v23.382-391,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85144710074,"Monitoring and Prediction of Particulate Matter (PM<inf>2.5</inf> and PM<inf>10</inf>) around the Ipbeja Campus",Journal,2022-12-01,14,undefined,N/A,N/A,undefined,undefined,10.3390/su142416892,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85104678530,"Sensory quality of portuguese natural mineral waters: Correlation with chemical composition",Journal,2021-04-08,22,129-141,N/A,N/A,undefined,undefined,10.12912/27197050/135618,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85098526939,"The physio-chemical conditions of surface and groundwater resources in water scarce areas – how droughts affect ions migration",Journal,2020-12-01,207,122-136,N/A,N/A,19443994,undefined,10.5004/dwt.2020.26560,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:85088692252,"Eco Green Campus: Challenges and Opportunities. the Study Case of Polytechnic Institute of Beja","Conference Proceeding",2020-06-09,171,undefined,N/A,N/A,25550403,undefined,10.1051/e3sconf/202017101010,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85180490864,"ERSAR SERVICE QUALITY INDICATORS – PRACTICAL CASE OF A MUNICIPALITY",Journal,2019-01-31,2,29-35,N/A,N/A,08733015,undefined,10.29352/mill0208.03.00207,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85180421741,"WASTEWATER TREATMENT OF BIODIESEL PRODUCTION USING PERSULPHATE ION AS AN OXIDANT",Journal,2019-01-31,2,21-27,N/A,N/A,08733015,undefined,10.29352/mill0208.02.00199,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85065557461,"Evaluation of energy production through solar photovoltaic technology for self-consumption in the parish council of São Bartolomeu de Messines, Portugal - preliminary study",Journal,2019-01-01,20,111-120,N/A,N/A,undefined,undefined,10.12911/22998993/105336,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:85054065130,"Biodiesel by transesterification of rapeseed oil using ultrasound: A kinetic study of base-catalysed reactions",Journal,2018-01-01,11,undefined,N/A,N/A,undefined,undefined,10.3390/en11092229,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:84946605379,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Journal,2016-02-15,166,51-58,N/A,N/A,00162361,undefined,10.1016/j.fuel.2015.10.110,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:84864073756,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results",Journal,2012-11-01,103,9-15,N/A,N/A,03783820,undefined,10.1016/j.fuproc.2011.12.033,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:84857061963,"Soybean oil transesterification by the use of a microwave flow system",Journal,2012-05-01,95,386-393,N/A,N/A,00162361,undefined,10.1016/j.fuel.2011.11.010,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:81055139505,"Transesterification of rapeseed oil in subcritical methanol conditions",Journal,2012-02-01,94,40-46,N/A,N/A,03783820,undefined,10.1016/j.fuproc.2011.10.018,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:77957915710,"Rape oil transesterification over heterogeneous catalysts",Journal,2010-01-01,91,1530-1536,N/A,N/A,03783820,undefined,10.1016/j.fuproc.2010.05.034,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:0043202358,"Synthesis and spectroscopic characterisation of N-alkyl quaternary ammonium salts typical precursors of cyanines",Journal,2002-01-01,7,320-330,N/A,N/A,14203049,undefined,10.3390/70300320,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Scopus,
SCOPUS_ID:0036064053,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins",Journal,2002-01-01,118,95-99,N/A,N/A,14723581,undefined,10.1111/j.1478-4408.2002.tb00363.x,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
SCOPUS_ID:0035020080,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent",Journal,2001-01-01,117,43-48,N/A,N/A,14723581,undefined,10.1111/j.1478-4408.2001.tb00334.x,0000-0003-3953-8441,"Ana Cristina Diniz Vicente Pardal",Ambas,N/A
undefined,undefined,undefined,undefined,undefined,undefined,N/A,N/A,undefined,undefined,undefined,0000-0001-9868-214X,"Ana Cristina Ribeiro da Silva Romão Afonso Martins",Scopus,
SCOPUS_ID:85205667442,"Strategies for Worker Training and Information in Occupational Safety and Health (OSH)",Journal,2024-06-28,9,undefined,N/A,N/A,undefined,undefined,10.31637/epsir-2024-787,0000-0001-5300-2331,"Ana Filomena de Figueiredo Dias",Scopus,
SCOPUS_ID:85188928650,"Methods and visual data in Qualitative Research: Nature, Function and Practical Example with the use of Photographs",Journal,2022-01-01,10,undefined,N/A,N/A,undefined,undefined,10.36367/ntqr.10.2022.e527,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Scopus,
SCOPUS_ID:85198624984,"Special Issue of CIAIQ 2020/2021. Social and educational research projects: Reflection on paths and methodological options",Journal,2021-08-31,9,iv-vi,N/A,N/A,undefined,undefined,undefined,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Scopus,
SCOPUS_ID:85127210894,"Effects of the Pandemic Situation COVID19 on Learning and Social Research Processes: Preliminary Results of a Qualitative Exploratory Study with Postgraduate Students at a Portuguese Higher Education Institution",Journal,2021-04-08,9,66-78,N/A,N/A,undefined,undefined,10.36367/ntqr.9.2021.66-78,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Scopus,
SCOPUS_ID:85075245818,"Destination Image(s) Formed of the Alentejo Litoral/Southwest Region from the Experience of Participating in the MEOSUDOESTE Music Festival","Book Series",2020-01-01,1068,239-252,N/A,N/A,21945357,"true, [9783030317867]",10.1007/978-3-030-31787-4_20,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Ambas,N/A
SCOPUS_ID:85054856251,"Using CAQDAS in Visual Data Analysis: A Systematic Literature Review","Book Series",2019-01-01,861,235-247,N/A,N/A,21945357,"true, [9783030014056]",10.1007/978-3-030-01406-3_20,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Ambas,N/A
SCOPUS_ID:85088251995,"Combining visual and textual data for assessing destination image: Lake tourism example",Journal,2017-01-01,27,319-339,N/A,N/A,21639159,undefined,10.1080/21639159.2017.1360147,0000-0001-9140-9722,"Ana Isabel Barros Pimentel Rodrigues",Ambas,N/A
SCOPUS_ID:85082304182,"Representations of aging in nursing and social work students","Book Series",2020-01-01,"1185 CCIS",350-358,N/A,N/A,18650929,"true, [9783030414931]",10.1007/978-3-030-41494-8_34,0000-0002-2322-7940,"Ana Isabel Lapa Fernandes",Ambas,N/A
SCOPUS_ID:85163767180,"Efficacy of Health Promotion Interventions Aimed to Improve Health Gains in Middle-Aged Adults—A Systematic Review",Journal,2023-06-01,8,undefined,N/A,N/A,undefined,undefined,10.3390/geriatrics8030050,0000-0002-5528-3154,"Ana Maria Grego Dias Sobral Canhestro",Ambas,N/A
SCOPUS_ID:85127874303,"Contributions to Rehabilitation Nursing Care for the Elderly with Hip Fracture","Book Series",2022-01-01,undefined,296-306,N/A,N/A,2195271X,"true, [9783030975234]",10.1007/978-3-030-97524-1_28,0000-0002-5528-3154,"Ana Maria Grego Dias Sobral Canhestro",Scopus,
SCOPUS_ID:85082305050,"Early weaning of people undergoing invasive mechanical ventilation: the impact of rehabilitation nursing interventions","Book Series",2020-01-01,"1185 CCIS",240-249,N/A,N/A,18650929,"true, [9783030414931]",10.1007/978-3-030-41494-8_24,0000-0002-5528-3154,"Ana Maria Grego Dias Sobral Canhestro",Scopus,
SCOPUS_ID:85197273103,"Higher Education Institutions’ Students’ Literacy in Sustainable Use of Potable Water",Journal,2024-06-01,16,undefined,N/A,N/A,undefined,undefined,10.3390/su16125217,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Ambas,N/A
SCOPUS_ID:85149323524,"Analyzing Green Behavior and the Rational Use of Water in Portuguese Higher Education Campi",Journal,2023-02-01,15,undefined,N/A,N/A,undefined,undefined,10.3390/su15043035,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Ambas,N/A
SCOPUS_ID:85204585844,"Melting Pot: The New Sustainability in a World of Emerging Pandemics",Book,2023-01-01,undefined,125-145,N/A,N/A,undefined,"true, [9783031045608, 9783031045592]",10.1007/978-3-031-04560-8_56,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Scopus,
SCOPUS_ID:85059037824,"Nitrogen removal in vertical flow constructed wetlands: influence of bed depth and high nitrogen loadings",Journal,2020-07-28,41,2196-2209,N/A,N/A,09593330,undefined,10.1080/09593330.2018.1557749,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Ambas,N/A
SCOPUS_ID:85088705283,"Technology as a tool to enhance motivation and learning","Conference Proceeding",2020-06-09,171,undefined,N/A,N/A,25550403,undefined,10.1051/e3sconf/202017101011,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Scopus,
SCOPUS_ID:85068873570,"Phytoremediation potential of Vetiveria zizanioides and Oryza sativa to nitrate and organic substance removal in vertical flow constructed wetland systems",Journal,2019-11-01,138,19-27,N/A,N/A,09258574,undefined,10.1016/j.ecoleng.2019.06.020,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Scopus,
SCOPUS_ID:85044247897,"Evaluation of salinization and sodification in irrigated areas with limited soil data: Case study in southern Portugal",Journal,2018-01-01,8,102-120,N/A,N/A,undefined,undefined,10.3232/SJSS.2018.V8.N1.07,0000-0001-9069-2554,"Anabela Cândida Ramalho Durão",Ambas,N/A
SCOPUS_ID:85111068586,"Grape pomace: A potential ingredient for the human diet",Journal,2020-12-01,9,undefined,N/A,N/A,undefined,undefined,10.3390/foods9121772,0000-0001-9380-3002,"Anabela Reis Pacheco de Amaral",Ambas,N/A
SCOPUS_ID:85092345212,"Water footprint sustainability as a tool to address climate change in the wine sector: A methodological approach applied to a Portuguese case study",Journal,2020-09-01,11,undefined,N/A,N/A,undefined,undefined,10.3390/atmos11090934,0000-0001-9380-3002,"Anabela Reis Pacheco de Amaral",Ambas,N/A
SCOPUS_ID:85154022919,"Mango Peel Nanofiltration Concentrates to Enhance Anaerobic Digestion of Slurry from Piglets Fed with Laminaria",Journal,2023-04-01,13,undefined,N/A,N/A,undefined,undefined,10.3390/membranes13040371,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:85146589175,"New food, new technology: innovative spreadable cream with strawberry syrup",Journal,2023-03-01,249,821-828,N/A,N/A,14382377,undefined,10.1007/s00217-022-04179-5,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:85137775855,"Membrane Technology for Valorization of Mango Peel Extracts",Journal,2022-09-01,11,undefined,N/A,N/A,undefined,undefined,10.3390/foods11172581,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:85112015888,"Integration of membrane processes for by-product valorization to improve the eco-efficiency of small/medium size cheese dairy plants",Journal,2021-08-01,10,undefined,N/A,N/A,undefined,undefined,10.3390/foods10081740,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Ambas,N/A
SCOPUS_ID:85109421761,"Valorization of goat cheese whey through an integrated process of ultrafiltration and nanofiltration",Journal,2021-07-01,11,undefined,N/A,N/A,undefined,undefined,10.3390/membranes11070477,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Ambas,N/A
SCOPUS_ID:85062405039,"A contribution for the valorisation of sheep and goat cheese whey through nanofiltration",Journal,2018-01-01,8,undefined,N/A,N/A,undefined,undefined,10.3390/membranes8040114,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:85034210255,"Secondary raw materials from agroindustrial by-products and waste through nanofiltration",Book,2017-01-01,undefined,67-89,N/A,N/A,undefined,"true, [9781536119725, 9781536119527]",undefined,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:84988288821,"Assessment of the performance of three ultrafiltration membranes for fractionation of ovine second cheese whey",Journal,2015-09-01,48,31-37,N/A,N/A,09586946,undefined,10.1016/j.idairyj.2014.12.003,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:84891935853,"Application of ultrafiltration for valorization of ovine cheese whey","Conference Proceeding",2012-01-01,44,1949-1950,N/A,N/A,18777058,undefined,10.1016/j.proeng.2012.09.005,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Scopus,
SCOPUS_ID:80052035728,"The role of concentration polarization in ultrafiltration of ovine cheese whey",Journal,2011-09-30,381,34-40,N/A,N/A,03767388,undefined,10.1016/j.memsci.2011.07.012,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Ambas,N/A
SCOPUS_ID:31844434616,"Reduction of wastewaters and valorisation of by-products from ""Serpa"" cheese manufacture using nanofiltration",Journal,2005-01-01,52,393-399,N/A,N/A,02731223,undefined,10.2166/wst.2005.0716,0000-0002-6378-0564,"Antónia Teresa Zorro Nobre Macedo",Ambas,N/A
SCOPUS_ID:85187416025,"Comparison of optimal harvesting policies with general logistic growth and a general harvesting function",Journal,2024-07-15,47,8076-8088,N/A,N/A,01704214,undefined,10.1002/mma.10004,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85183022132,"Addressing the algebraic structure of a linear mixed model with balanced design towards model extension",Journal,2024-05-15,47,6051-6059,N/A,N/A,01704214,undefined,10.1002/mma.9906,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85211376950,"How the Variance-to-Mean Ratio Behaves in Relation to the Basic Principles for Inequality Measures",Journal,2024-01-01,21,2354-2362,N/A,N/A,11099526,undefined,10.37394/23207.2024.21.194,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85185664611,"An assessment of the true Gini coefficient regarding the fulfilment of the basic criteria for inequality measures",Journal,2024-01-01,46,undefined,N/A,N/A,18062563,undefined,10.4025/actascitechnol.v46i1.64563,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85190236894,"Genotype × Environment Interaction: A Comparison between Joint Regression Analysis and Weighted Biplot Models",Journal,2023-01-01,19,1475-1488,N/A,N/A,17905079,undefined,10.37394/232015.2023.19.134,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85180545917,"Operations with Iso-structured Models with Commutative Orthogonal Block Structure: An Introductory Approach","Conference Proceeding",2023-01-01,430,157-168,N/A,N/A,21941009,"true, [9783031398636]",10.1007/978-3-031-39864-3_13,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85169300618,"Joining Iso-Structured Models with Commutative Orthogonal Block Structure",Journal,2023-01-01,22,577-585,N/A,N/A,11092769,undefined,10.37394/23206.2023.22.64,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85143173089,"Adaptability and stability analysis of common wheat production","Conference Proceeding",2022-11-23,2611,undefined,N/A,N/A,0094243X,"true, [9780735442474]",10.1063/5.0123542,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85123622759,"Isolated and structured families of models for stochastic symmetric matrices",Journal,2021-11-01,3,undefined,N/A,N/A,undefined,undefined,10.1002/cmm4.1152,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85136474324,"COVID-19 and online learning in higher education. A case study of students from Portalegre and Beja Polytechnic Institutes",Journal,2021-01-01,2021,317-325,N/A,N/A,undefined,undefined,10.46661/ijeri.5253,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85085037871,"Models with commutative orthogonal block structure: a general condition for commutativity",Journal,2020-11-17,47,2421-2430,N/A,N/A,02664763,undefined,10.1080/02664763.2020.1765322,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85096623605,"Inference for isolated matrices and structured families of matrices","Conference Proceeding",2020-01-01,undefined,undefined,N/A,N/A,undefined,undefined,undefined,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85096557209,"On the derivation of complex linear models from simpler ones","Conference Proceeding",2020-01-01,undefined,undefined,N/A,N/A,undefined,undefined,undefined,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85058668057,"Model validation and vec operators","Conference Proceeding",2018-11-30,2040,undefined,N/A,N/A,0094243X,"true, [9780735417663]",10.1063/1.5079167,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85058183143,"Combining models","Conference Proceeding",2018-07-15,undefined,11-15,N/A,N/A,undefined,"true, [9781450365383]",10.1145/3274250.3274257,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85058181503,"Degree-one models and cross product matrices","Conference Proceeding",2018-07-15,undefined,50-54,N/A,N/A,undefined,"true, [9781450365383]",10.1145/3274250.3274258,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85006976517,"Joining models with commutative orthogonal block structure",Journal,2017-03-15,517,235-245,N/A,N/A,00243795,undefined,10.1016/j.laa.2016.12.019,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Scopus,
SCOPUS_ID:85008711885,"Imbedding linear regressions in models for factor crossing","Conference Proceeding",2016-12-06,1790,undefined,N/A,N/A,0094243X,"true, [9780735414549]",10.1063/1.4968734,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Ambas,N/A
SCOPUS_ID:85008657316,"ANOVA like analysis for structured families of stochastic matrices","Conference Proceeding",2016-12-06,1790,undefined,N/A,N/A,0094243X,"true, [9780735414549]",10.1063/1.4968735,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Ambas,N/A
SCOPUS_ID:84939896146,"Inference for types and structured families of commutative orthogonal block structures",Journal,2015-04-01,78,337-372,N/A,N/A,00261335,undefined,10.1007/s00184-014-0506-8,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Ambas,N/A
SCOPUS_ID:84890037631,"Relevant statistics for models with commutative orthogonal block structure and unbiased estimator for variance components",Journal,2008-12-01,11,553-564,N/A,N/A,09720502,undefined,10.1080/09720502.2008.10700581,0000-0002-0077-1249,"Carla Maria Lopes da Silva Afonso dos Santos",Ambas,N/A
SCOPUS_ID:85211577380,"Do rising interest rates matter for bank profitability? Evidence from Portuguese banks",Journal,2024-12-03,13,120-135,N/A,N/A,undefined,undefined,10.17979/ejge.2024.13.2.10853,0000-0003-3868-9715,"Carlos Manuel Lopes Borralho",Scopus,
SCOPUS_ID:85114170852,"Determinants of Portuguese banks' profitability: An update",Journal,2021-01-01,17,63-70,N/A,N/A,21828458,undefined,10.18089/tms.2021.170305,0000-0003-3868-9715,"Carlos Manuel Lopes Borralho",Scopus,
