id,titulo,fonte,doi,tipo,autores,departamento,orcids_autores,ano_publicacao,autor_principal,issn,isbn,volume,numero,paginas,editor,keywords,origem,financiador,repositorioIPBeja,apoiosPublicaçao
SCOPUS_ID:85098716399,"Risk assessment of irrigation-related soil salinization and sodification in mediterranean areas","Water (Switzerland)",10.3390/w12123569,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2020,"Tomaz A.",undefined,undefined,12,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85077493669,"Spatial and temporal dynamics of irrigation water quality under drought conditions in a large reservoir in Southern Portugal","Environmental Monitoring and Assessment",10.1007/s10661-019-8048-1,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2020,"Tomaz A.",01676369,undefined,192,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85085023476,"Soil salinity risk in a climate change scenario and its effect on crop yield","Climate Change and Soil Interactions",10.1016/B978-0-12-818032-7.00013-8,Book,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2020,"Tomaz A.",undefined,"true, [9780128180327, 9780128180334]",undefined,undefined,351-396,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85074237952,"Water regime and nitrogen management to cope with wheat yield variability under the mediterranean conditions of Southern Portugal",Plants,10.3390/plants8100429,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2019,"Patanita M.",undefined,undefined,8,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85062472452,"Combined effects of irrigation management and nitrogen fertilization on soft wheat productive responses under Mediterranean conditions","E3S Web of Conferences",10.1051/e3sconf/20198600019,"Conference Proceeding","Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2019,"Oliveira P.",undefined,undefined,86,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85044208475,"Efficient use of water and nutrients in irrigated cropping systems in the Alqueva region","Spanish Journal of Soil Science",10.3232/SJSS.2018.V8.N1.02,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2018,"Tomaz A.",undefined,undefined,8,undefined,12-23,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85034593692,"Water use and productivity of maize-based cropping systems in the Alqueva Region (Portugal)","Cereal Research Communications",10.1556/0806.45.2017.036,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2017,"TomAz A.",01333720,undefined,45,undefined,711-721,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85013018513,"Influence of cover cropping on water uptake dynamics in an irrigated Mediterranean vineyard","Irrigation and Drainage",10.1002/ird.2115,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2017,"Tomaz A.",15310353,undefined,66,undefined,387-395,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:84949234710,"Yield and quality responses of 'Aragonez' grapevines under deficit irrigation and different soil management practices in a Mediterranean climate","Ciencia e Tecnica Vitivinicola",10.1051/ctv/20153001009,Journal,"Alexandra Telo da Costa Trincalhetas Tomaz",Biociências,0000-0001-9129-112X,2015,"Tomaz A.",02540223,undefined,30,undefined,9-20,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85127913064,"Electrolyte Imbalances in the Elderly","Lecture Notes in Bioengineering",10.1007/978-3-030-97524-1_35,"Book Series","Ana Clara Pica Nunes",Saúde,0000-0002-8514-2264,2022,"Sardinha E.",2195271X,"true, [9783030975234]",undefined,undefined,378-387,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85127890349,"The Practice of Physical Activity in a Person with Type 2 Diabetes Mellitus","Lecture Notes in Bioengineering",10.1007/978-3-030-97524-1_22,"Book Series","Ana Clara Pica Nunes",Saúde,0000-0002-8514-2264,2022,"Martins F.",2195271X,"true, [9783030975234]",undefined,undefined,233-244,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85065387693,"Models and politics of cares of the elderly in the home","Communications in Computer and Information Science",10.1007/978-3-030-16028-9_23,"Book Series","Ana Clara Pica Nunes",Saúde,0000-0002-8514-2264,2019,"Ferreira R.F.",18650929,"true, [9783030160272]",1016,undefined,257-268,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85187541845,"Towards an Integrated Information System for a Higher Education Institution Volunteering Group","Atas da Conferencia da Associacao Portuguesa de Sistemas de Informacao",10.18803/capsi.v23.382-391,"Conference Proceeding","Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2023,"Ramires P.",undefined,"true, [9789899127685]",undefined,undefined,382-391,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85144710074,"Monitoring and Prediction of Particulate Matter (PM<inf>2.5</inf> and PM<inf>10</inf>) around the Ipbeja Campus","Sustainability (Switzerland)",10.3390/su142416892,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2022,"Silva F.M.O.",undefined,undefined,14,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85104678530,"Sensory quality of portuguese natural mineral waters: Correlation with chemical composition","Ecological Engineering and Environmental Technology",10.12912/27197050/135618,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2021,"Sozo J.S.",undefined,undefined,22,undefined,129-141,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85098526939,"The physio-chemical conditions of surface and groundwater resources in water scarce areas – how droughts affect ions migration","Desalination and Water Treatment",10.5004/dwt.2020.26560,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2020,"Operacz A.",19443994,undefined,207,undefined,122-136,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85088692252,"Eco Green Campus: Challenges and Opportunities. the Study Case of Polytechnic Institute of Beja","E3S Web of Conferences",10.1051/e3sconf/202017101010,"Conference Proceeding","Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2020,"Pardal A.",25550403,undefined,171,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85180490864,"ERSAR SERVICE QUALITY INDICATORS – PRACTICAL CASE OF A MUNICIPALITY","Millenium: Journal of Education, Technologies, and Health",10.29352/mill0208.03.00207,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2019,"Pardal A.",08733015,undefined,2,undefined,29-35,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85180421741,"WASTEWATER TREATMENT OF BIODIESEL PRODUCTION USING PERSULPHATE ION AS AN OXIDANT","Millenium: Journal of Education, Technologies, and Health",10.29352/mill0208.02.00199,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2019,"Borralho M.T.",08733015,undefined,2,undefined,21-27,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85065557461,"Evaluation of energy production through solar photovoltaic technology for self-consumption in the parish council of São Bartolomeu de Messines, Portugal - preliminary study","Journal of Ecological Engineering",10.12911/22998993/105336,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2019,"Pardal A.",undefined,undefined,20,undefined,111-120,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85054065130,"Biodiesel by transesterification of rapeseed oil using ultrasound: A kinetic study of base-catalysed reactions",Energies,10.3390/en11092229,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2018,"Encinar J.",undefined,undefined,11,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:84946605379,"An improvement to the transesterification process by the use of co-solvents to produce biodiesel",Fuel,10.1016/j.fuel.2015.10.110,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2016,"Encinar J.M.",00162361,undefined,166,undefined,51-58,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:84864073756,"Transesterification of castor oil under ultrasonic irradiation conditions. Preliminary results","Fuel Processing Technology",10.1016/j.fuproc.2011.12.033,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2012,"Encinar J.M.",03783820,undefined,103,undefined,9-15,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:84857061963,"Soybean oil transesterification by the use of a microwave flow system",Fuel,10.1016/j.fuel.2011.11.010,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2012,"Encinar J.M.",00162361,undefined,95,undefined,386-393,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:81055139505,"Transesterification of rapeseed oil in subcritical methanol conditions","Fuel Processing Technology",10.1016/j.fuproc.2011.10.018,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2012,"Encinar J.",03783820,undefined,94,undefined,40-46,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:77957915710,"Rape oil transesterification over heterogeneous catalysts","Fuel Processing Technology",10.1016/j.fuproc.2010.05.034,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2010,"Encinar J.M.",03783820,undefined,91,undefined,1530-1536,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:0043202358,"Synthesis and spectroscopic characterisation of N-alkyl quaternary ammonium salts typical precursors of cyanines",Molecules,10.3390/70300320,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2002,"Pardal A.C.",14203049,undefined,7,undefined,320-330,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:0036064053,"Preliminary studies on the use of cyanines as ligands in dye-affinity chromatography of proteins","Coloration Technology",10.1111/j.1478-4408.2002.tb00363.x,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2002,"Pardal A.C.",14723581,undefined,118,undefined,95-99,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:0035020080,"Synthesis and fixation of aminocyanines to microcrystalline cellulose using cyanuric chloride as a cross-linking agent","Coloration Technology",10.1111/j.1478-4408.2001.tb00334.x,Journal,"Ana Cristina Diniz Vicente Pardal","Tecnologias CAplicadas",0000-0003-3953-8441,2001,"Pardal A.C.",14723581,undefined,117,undefined,43-48,undefined,,Scopus,N/A,N/A,N/A
undefined,undefined,undefined,undefined,undefined,"Ana Cristina Ribeiro da Silva Romão Afonso Martins",Saúde,0000-0001-9868-214X,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
undefined,undefined,undefined,undefined,undefined,"Ana Felisbela de Albuquerque Piedade","Educação CSComportamento",0000-0002-6203-9424,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85205667442,"Strategies for Worker Training and Information in Occupational Safety and Health (OSH)","European Public and Social Innovation Review",10.31637/epsir-2024-787,Journal,"Ana Filomena de Figueiredo Dias",Engenharia,0000-0001-5300-2331,2024,"Dias A.",undefined,undefined,9,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85188928650,"Methods and visual data in Qualitative Research: Nature, Function and Practical Example with the use of Photographs","New Trends in Qualitative Research",10.36367/ntqr.10.2022.e527,Journal,"Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2022,"Rodrigues A.I.",undefined,undefined,10,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85198624984,"Special Issue of CIAIQ 2020/2021. Social and educational research projects: Reflection on paths and methodological options","Revista Pesquisa Qualitativa",undefined,Journal,"Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2021,"Ribeiro Higa E.d.F.",undefined,undefined,9,undefined,iv-vi,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85127210894,"Effects of the Pandemic Situation COVID19 on Learning and Social Research Processes: Preliminary Results of a Qualitative Exploratory Study with Postgraduate Students at a Portuguese Higher Education Institution","New Trends in Qualitative Research",10.36367/ntqr.9.2021.66-78,Journal,"Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2021,"Saúde S.",undefined,undefined,9,undefined,66-78,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85075245818,"Destination Image(s) Formed of the Alentejo Litoral/Southwest Region from the Experience of Participating in the MEOSUDOESTE Music Festival","Advances in Intelligent Systems and Computing",10.1007/978-3-030-31787-4_20,"Book Series","Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2020,"Saúde S.",21945357,"true, [9783030317867]",1068,undefined,239-252,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85054856251,"Using CAQDAS in Visual Data Analysis: A Systematic Literature Review","Advances in Intelligent Systems and Computing",10.1007/978-3-030-01406-3_20,"Book Series","Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2019,"Rodrigues A.I.",21945357,"true, [9783030014056]",861,undefined,235-247,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85088251995,"Combining visual and textual data for assessing destination image: Lake tourism example","Journal of Global Scholars of Marketing Science: Bridging Asia and the World",10.1080/21639159.2017.1360147,Journal,"Ana Isabel Barros Pimentel Rodrigues","Ciências Empresariais",0000-0001-9140-9722,2017,"Rodrigues A.I.",21639159,undefined,27,undefined,319-339,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85082304182,"Representations of aging in nursing and social work students","Communications in Computer and Information Science",10.1007/978-3-030-41494-8_34,"Book Series","Ana Isabel Lapa Fernandes","Educação CSComportamento",0000-0002-2322-7940,2020,"Faria M.C.",18650929,"true, [9783030414931]","1185 CCIS",undefined,350-358,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85163767180,"Efficacy of Health Promotion Interventions Aimed to Improve Health Gains in Middle-Aged Adults—A Systematic Review","Geriatrics (Switzerland)",10.3390/geriatrics8030050,Journal,"Ana Maria Grego Dias Sobral Canhestro",Saúde,0000-0002-5528-3154,2023,"Santos E.M.C.P.",undefined,undefined,8,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85127874303,"Contributions to Rehabilitation Nursing Care for the Elderly with Hip Fracture","Lecture Notes in Bioengineering",10.1007/978-3-030-97524-1_28,"Book Series","Ana Maria Grego Dias Sobral Canhestro",Saúde,0000-0002-5528-3154,2022,"Teixeira H.",2195271X,"true, [9783030975234]",undefined,undefined,296-306,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85082305050,"Early weaning of people undergoing invasive mechanical ventilation: the impact of rehabilitation nursing interventions","Communications in Computer and Information Science",10.1007/978-3-030-41494-8_24,"Book Series","Ana Maria Grego Dias Sobral Canhestro",Saúde,0000-0002-5528-3154,2020,"Amorim R.",18650929,"true, [9783030414931]","1185 CCIS",undefined,240-249,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85065387693,"Models and politics of cares of the elderly in the home","Communications in Computer and Information Science",10.1007/978-3-030-16028-9_23,"Book Series","Ana Maria Grego Dias Sobral Canhestro",Saúde,0000-0002-5528-3154,2019,"Ferreira R.F.",18650929,"true, [9783030160272]",1016,undefined,257-268,undefined,,Scopus,N/A,N/A,N/A
undefined,undefined,undefined,undefined,undefined,"Ana Paula Lopes Tavares Martins",Saúde,0000-0003-1394-4038,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85215127367,"Water Efficiency Perception Among Higher Education Students","Lecture Notes on Multidisciplinary Industrial Engineering",10.1007/978-3-031-80330-7_15,"Book Series","Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2025,"Galvão A.",25225022,undefined,"Part F4026",undefined,138-147,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85197273103,"Higher Education Institutions’ Students’ Literacy in Sustainable Use of Potable Water","Sustainability (Switzerland)",10.3390/su16125217,Journal,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2024,"Barreiros A.M.",undefined,undefined,16,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85149323524,"Analyzing Green Behavior and the Rational Use of Water in Portuguese Higher Education Campi","Sustainability (Switzerland)",10.3390/su15043035,Journal,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2023,"Barreiros A.M.",undefined,undefined,15,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85204585844,"Melting Pot: The New Sustainability in a World of Emerging Pandemics","Handbook of Sustainability Science in the Future",10.1007/978-3-031-04560-8_56,Book,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2023,"Dos Santos I.A.",undefined,"true, [9783031045608, 9783031045592]",undefined,undefined,125-145,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85059037824,"Nitrogen removal in vertical flow constructed wetlands: influence of bed depth and high nitrogen loadings","Environmental Technology (United Kingdom)",10.1080/09593330.2018.1557749,Journal,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2020,"Almeida A.",09593330,undefined,41,undefined,2196-2209,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85088705283,"Technology as a tool to enhance motivation and learning","E3S Web of Conferences",10.1051/e3sconf/202017101011,"Conference Proceeding","Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2020,"Raposo A.",25550403,undefined,171,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85088692252,"Eco Green Campus: Challenges and Opportunities. the Study Case of Polytechnic Institute of Beja","E3S Web of Conferences",10.1051/e3sconf/202017101010,"Conference Proceeding","Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2020,"Pardal A.",25550403,undefined,171,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85068873570,"Phytoremediation potential of Vetiveria zizanioides and Oryza sativa to nitrate and organic substance removal in vertical flow constructed wetland systems","Ecological Engineering",10.1016/j.ecoleng.2019.06.020,Journal,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2019,"Almeida A.",09258574,undefined,138,undefined,19-27,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85044247897,"Evaluation of salinization and sodification in irrigated areas with limited soil data: Case study in southern Portugal","Spanish Journal of Soil Science",10.3232/SJSS.2018.V8.N1.07,Journal,"Anabela Cândida Ramalho Durão",Engenharia,0000-0001-9069-2554,2018,"Alexandre C.",undefined,undefined,8,undefined,102-120,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85111068586,"Grape pomace: A potential ingredient for the human diet",Foods,10.3390/foods9121772,Journal,"Anabela Reis Pacheco de Amaral","Tecnologias CAplicadas",0000-0001-9380-3002,2020,"Pereira P.",undefined,undefined,9,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85092345212,"Water footprint sustainability as a tool to address climate change in the wine sector: A methodological approach applied to a Portuguese case study",Atmosphere,10.3390/atmos11090934,Journal,"Anabela Reis Pacheco de Amaral","Tecnologias CAplicadas",0000-0001-9380-3002,2020,"Saraiva A.",undefined,undefined,11,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85154022919,"Mango Peel Nanofiltration Concentrates to Enhance Anaerobic Digestion of Slurry from Piglets Fed with Laminaria",Membranes,10.3390/membranes13040371,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2023,"Macedo A.",undefined,undefined,13,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85146589175,"New food, new technology: innovative spreadable cream with strawberry syrup","European Food Research and Technology",10.1007/s00217-022-04179-5,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2023,"de Lima G.B.",14382377,undefined,249,undefined,821-828,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85137775855,"Membrane Technology for Valorization of Mango Peel Extracts",Foods,10.3390/foods11172581,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2022,"Macedo A.",undefined,undefined,11,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85112015888,"Integration of membrane processes for by-product valorization to improve the eco-efficiency of small/medium size cheese dairy plants",Foods,10.3390/foods10081740,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2021,"Macedo A.",undefined,undefined,10,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85109421761,"Valorization of goat cheese whey through an integrated process of ultrafiltration and nanofiltration",Membranes,10.3390/membranes11070477,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2021,"Macedo A.",undefined,undefined,11,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85062405039,"A contribution for the valorisation of sheep and goat cheese whey through nanofiltration",Membranes,10.3390/membranes8040114,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2018,"Macedo A.",undefined,undefined,8,undefined,undefined,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:85034210255,"Secondary raw materials from agroindustrial by-products and waste through nanofiltration","Nanofiltration: Applications, Advancements and Research",undefined,Book,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2017,"Ochando-Pulido J.M.",undefined,"true, [9781536119725, 9781536119527]",undefined,undefined,67-89,undefined,,Scopus,N/A,N/A,N/A
SCOPUS_ID:84988288821,"Assessment of the performance of three ultrafiltration membranes for fractionation of ovine second cheese whey","International Dairy Journal",10.1016/j.idairyj.2014.12.003,Journal,"Antónia Teresa Zorro Nobre Macedo","Tecnologias CAplicadas",0000-0002-6378-0564,2015,"Macedo A.",09586946,undefined,48,undefined,31-37,undefined,,Scopus,N/A,N/A,N/A
